bowler,JJ Bumrah,,
innings,(Multiple Items),,
wicket_type,(Multiple Items),,
,,,
,Values,,
Row Labels,Sum of runs_off_bat,Sum of Legal_delivery,Count of player_dismissed
A Badoni,3,5,
A Mishra,1,5,1
AB de Villiers,125,84,3
Abdul Samad,20,9,1
Abhishek Sharma,8,10,1
AD Nath,4,4,
AD Russell,56,43,4
AJ Finch,24,28,1
AJ Turner,0,1,1
AJ Tye,11,6,
AK Markram,2,2,
AM Rahane,49,40,
Anuj Rawat,7,10,
AR Patel,40,40,3
AS Rajpoot,5,6,
AT Carey,10,6,
AT Rayudu,60,41,2
B Kumar,7,8,
BA Stokes,27,22,
Basil Thampi,1,2,
BB McCullum,39,21,1
BCJ Cutting,5,3,1
BE Hendricks,0,1,1
BJ Hodge,12,8,
C de Grandhomme,2,10,1
C Munro,1,3,
C Sakariya,1,5,
CA Ingram,3,6,
CA Lynn,33,24,2
CA Pujara,4,5,
CH Gayle,37,48,
CH Morris,15,14,
CJ Anderson,1,1,
CJ Jordan,1,2,
CR Woakes,6,6,1
D Padikkal,14,20,2
D Pretorius,12,8,
D Wiese,8,3,
DA Miller,42,28,
DA Warner,54,45,
DJ Bravo,35,27,4
DJ Hooda,25,21,1
DJ Hussey,13,10,
DJM Short,4,5,1
DL Chahar,6,7,1
DPMD Jayawardene,10,4,
DR Sams,0,2,1
DR Smith,28,22,
DS Kulkarni,5,2,
DT Christian,6,10,1
E Lewis,9,7,1
EJG Morgan,12,15,2
F du Plessis,61,38,
G Gambhir,29,33,1
GJ Bailey,17,11,1
GJ Maxwell,44,36,5
Gurkeerat Singh,2,5,
Harbhajan Singh,1,1,
Harpreet Brar,9,10,
HH Pandya,6,3,
HM Amla,13,8,
HV Patel,10,10,2
Imran Tahir,5,5,
Iqbal Abdulla,13,8,
IR Jaggi,0,4,
Ishan Kishan,8,8,
JC Archer,19,11,1
JC Buttler,56,58,2
JDS Neesham,1,2,1
JJ Roy,39,21,
JM Bairstow,7,11,
JM Sharma,7,6,
JO Holder,1,1,
JP Duminy,70,32,1
JP Faulkner,27,16,1
JR Philippe,5,5,
K Gowtham,17,10,
K Rabada,16,21,1
K Yadav,0,1,
KA Jamieson,3,2,
KB Arun Karthik,1,1,
KD Karthik,61,33,
KK Nair,7,8,2
KL Rahul,143,112,2
KM Jadhav,41,34,
KP Pietersen,14,9,
KS Bharat,6,4,
KS Williamson,20,16,
KW Richardson,1,1,
Lalit Yadav,18,11,
LS Livingstone,1,2,1
M Shahrukh Khan,2,2,
M Vijay,14,21,1
M Vohra,13,12,1
MA Agarwal,11,16,3
MA Wood,1,1,
Mandeep Singh,17,7,
MC Henriques,11,10,1
MJ Guptill,9,8,1
MJ Santner,5,8,
MK Pandey,69,37,
MK Tiwary,30,27,1
MM Ali,10,8,1
Mohammad Nabi,15,14,1
Mohammed Shami,1,1,
MP Stoinis,16,25,3
MR Marsh,0,1,1
MS Dhoni,60,59,3
N Jagadeesan,0,1,1
N Pooran,13,15,2
N Rana,16,22,1
NLTC Perera,8,4,
NS Naik,2,4,1
NV Ojha,1,3,1
P Dubey,1,3,
P Negi,27,18,
PA Patel,12,14,
PJ Cummins,46,27,1
PK Garg,1,2,1
PP Chawla,5,7,
PP Shaw,11,14,1
PSP Handscomb,1,4,
Q de Kock,8,9,1
R Ashwin,13,11,
R Bhatia,9,6,
R Dhawan,3,3,
R Parag,6,8,
R Powell,7,5,1
R Tewatia,9,6,1
RA Jadeja,47,36,1
RA Tripathi,46,28,1
Rashid Khan,3,7,4
RD Gaikwad,26,13,
RK Singh,10,13,2
RR Pant,48,43,6
RR Rossouw,2,2,
RV Uthappa,54,44,3
S Dhawan,105,87,1
S Dube,10,17,2
S Gopal,8,7,2
S Kaul,0,1,
S Nadeem,1,4,
SA Yadav,27,12,1
Sachin Baby,2,3,
Sandeep Sharma,0,1,
SE Marsh,4,5,
Shahbaz Ahmed,1,1,
Shivam Sharma,1,1,
Shubman Gill,25,23,1
SK Raina,50,37,2
SM Curran,18,12,2
SN Khan,24,17,1
SN Thakur,17,9,
SO Hetmyer,9,14,3
SP Jackson,1,2,1
SP Narine,2,5,1
SPD Smith,68,56,3
SR Watson,25,33,2
SS Iyer,59,40,1
SS Tiwary,13,9,1
STR Binny,9,8,1
SV Samson,49,48,2
SW Billings,1,2,
TG Southee,1,4,1
TK Curran,1,3,
TL Seifert,9,6,
TM Head,10,7,
UBT Chand,1,4,
UT Yadav,2,3,1
V Kohli,140,92,4
V Sehwag,20,11,
V Shankar,20,20,1
VR Aaron,1,2,
VR Iyer,16,16,1
Washington Sundar,11,12,1
WP Saha,62,52,1
YBK Jaiswal,1,5,1
YK Pathan,17,20,1
Yuvraj Singh,5,14,1
Z Khan,2,3,
Grand Total,3269,2730,145
